Name,birthyear,gender,ambiguous_name,painter,sculptor,photographer,illustrator
Peggy Bacon,1895,f,False,True,False,False,True
Clara Birnberg,1894,f,False,False,True,False,True
Dorrit Black,1891,f,False,True,False,False,False
Kathleen Blackshear,1897,f,False,True,False,False,False
Lucile Blanch,1895,f,False,True,False,False,False
Elise Blumann,1897,f,False,True,False,False,False
Claude Cahun,1894,f,False,False,False,True,False
Dora Carrington,1893,f,False,True,False,False,False
Dorothy Coke,1897,f,False,True,False,False,False
Grace Crowley,1890,f,False,True,False,False,False
Louise Dahl-Wolfe,1895,f,False,False,False,True,False
Laura Gilpin,1891,f,False,False,False,True,False
Jeanne Hébuterne,1898,f,False,True,False,False,False
Margaret Calkin James,1895,f,False,True,False,False,False
Lotte Jacobi,1896,f,False,False,False,True,False
Winifred Knights,1899,f,False,True,False,False,False
Katarzyna Kobro,1898,f,False,False,True,False,False
Dorothea Lange,1895,f,False,False,False,True,False
Tamara de Lempicka,1898,f,False,True,False,False,False
Suzanne Malherbe,1892,f,False,False,False,False,True
Yevonde Middleton,1893,f,False,False,False,True,False
Lilian May Miller,1895,f,False,True,False,False,False
Tina Modotti,1896,f,False,False,False,True,False
Lucia Moholy,1894,f,False,False,False,True,False
Olive Mudie-Cooke,1890,f,False,True,False,False,False
Louise Nevelson,1899,f,False,False,True,False,False
Bashka Paeff,1894,f,False,False,True,False,False
Orovida Camille Pissarro,1893,f,False,True,False,False,False
Dod Procter,1892,f,False,True,False,False,False
Kay Sage,1898,f,False,True,False,False,False
Augusta Savage,1892,f,False,False,True,False,False
Varvara Stepanova,1894,f,False,True,False,False,False
Alma Thomas,1891,f,False,True,False,False,False
Charley Toorop,1891,f,False,True,False,False,False
Ogura Yuki,1895,f,False,True,False,False,False
Margaret Firth,1898,f,False,True,False,False,False
Gertrude Abercrombie,1909,f,False,True,False,False,False
Mary Adshead,1904,f,False,True,False,False,False
Catherine Tharp Altvater,1907,f,False,True,False,False,False
Evgenia Baykova,1907,f,False,True,False,False,False
Ruth Bernhard,1905,f,False,False,False,True,False
Isabel Bishop,1902,f,False,True,False,False,False
Dorr Bothwell,1902,f,False,True,False,False,False
Margaret Bourke-White,1904,f,False,False,False,True,False
Lola Álvarez Bravo,1907,f,False,False,False,True,False
Emmy Bridgewater,1906,f,False,True,False,False,False
Margaret Brundage,1900,f,False,False,False,False,True
Norma Bull,1906,f,False,True,False,False,False
Selma Burke,1900,f,False,False,True,False,False
Nancy Carline,1909,f,False,True,False,False,False
Dorothy Dehner,1901,f,False,False,True,False,False
Evelyn Dunbar,1906,f,False,True,False,False,False
Claire Falkenstein,1908,f,False,True,True,False,False
Perle Fine,1905,f,False,True,False,False,False
Leonor Fini,1907,f,False,True,False,False,False
Cornelia MacIntyre Foley,1909,f,False,True,False,False,False
Gisèle Freund,1908,f,False,False,False,True,False
Edith Hamlin,1902,f,False,True,False,False,False
Barbara Hepworth,1903,f,False,False,True,False,False
Gertrude Hermes,1901,f,False,False,True,False,False
Karen Holtsmark,1907,f,False,True,False,False,False
Ray Howard-Jones,1903,f,False,True,False,False,False
Lois Mailou Jones,1905,f,False,True,False,False,False
Anna Kostrova,1909,f,False,True,False,False,False
Lee Krasner,1908,f,False,True,False,False,False
Doris Lee,1905,f,False,True,False,False,False
Ruth Harriet Louise,1903,f,False,False,False,True,False
Helen Lundeberg,1908,f,False,True,False,False,False
Dora Maar,1907,f,False,True,False,True,False
Maruja Mallo,1902,f,False,True,False,False,False
Hansel Mieth,1909,f,False,False,False,True,False
Lee Miller,1907,f,False,False,False,True,False
Lisette Model,1901,f,False,False,False,True,False
Barbara Morgan,1900,f,False,False,False,True,False
Donia Nachshen,1903,f,False,False,False,False,True
Alice Neel,1900,f,False,True,False,False,False
Betty Parsons,1900,f,False,True,False,False,False
Milena Pavlović-Barili,1909,f,False,True,False,False,False
Irene Rice Pereira,1902,f,False,True,False,False,False
Mary Potter,1900,f,False,True,False,False,False
Dorothy Wagner Puccinelli,1901,f,False,True,False,False,False
Louise Emerson Ronnebeck,1901,f,False,True,False,False,False
"Stella Schmolle,",1908,f,False,True,False,False,False
"Ethel Schwabacher,",1903,f,False,True,False,False,False
Bernarda Bryson Shahn,1903,f,False,True,False,False,False
Jessamine Shumate,1902,f,False,True,False,False,False
Elena Skuin,1909,f,False,True,False,False,False
Ethel Spears,1903,f,False,True,False,False,False
Sultana Suruzhon,1900,f,False,True,False,False,False
Lenore Tawney,1907,f,False,False,True,False,False
Remedios Varo,1908,f,False,True,False,False,False
Maria Helena Vieira da Silva,1908,f,False,True,False,False,False
Ilse Weber,1908,f,False,True,False,False,False
Henriette Wyeth,1907,f,False,True,False,False,False
Maria Zubreeva,1900,f,False,True,False,False,False
Ida Abelman,1910,f,False,True,False,False,False
Taisia Afonina,1913,f,False,True,False,False,False
Evgenia Antipova,1917,f,False,True,False,False,False
Eve Arnold,1912,f,False,False,False,True,False
Louise Bourgeois,1911,f,False,False,True,False,False
Semiha Berksoy,1910,f,False,True,False,False,False
Leonora Carrington,1917,f,False,True,False,False,False
Chien-Ying Chang,1913,f,False,True,False,False,False
Malvina Cheek,1915,f,False,True,False,False,False
Elaine de Kooning,18–1,f,False,True,False,False,False
Maya Deren,1917,f,False,False,False,True,False
Jane Frank,18–1,f,False,True,True,False,False
Rosalie Gascoigne,1917,f,False,False,True,False,False
Carmen Herrera,1915,f,False,True,False,False,False
Nora Heysen,1911,f,False,True,False,False,False
Erlund Hudson,1912,f,False,True,False,False,False
Tove Jansson,1914,f,False,True,False,False,True
Kali,18–1,f,False,True,False,False,False
Gwendolyn Knight,1914,f,False,True,False,False,False
Jacqueline Lamba,1910,f,False,True,False,False,False
Maria Lassnig,1919,f,False,True,False,False,False
Helen Levitt,1913,f,False,False,False,True,False
Frances Macdonald,1914,f,False,True,False,False,False
Ethel Magafan,1916,f,False,True,False,False,False
Beatrice Mandelman,1912,f,False,True,False,False,False
Agnes Martin,1912,f,False,True,False,False,False
Mercedes Matter née Carles,1913,f,False,True,False,False,False
Louisa Matthíasdóttir,1917,f,False,True,False,False,False
Mona Moore,1917,f,False,True,False,False,False
Hilda Grossman Morris,1911,f,False,False,True,False,False
Meret Oppenheim,1913,f,False,False,True,False,False
Tuulikki Pietilä,1917,f,False,False,False,False,True
Lilo Rasch-Naegele,1914,f,False,True,False,False,True
Ruth Ray,1919,f,False,True,False,False,False
Maria Rudnitskaya,1916,f,False,True,False,False,False
Charlotte Salomon,1917,f,False,True,False,False,False
Amrita Sher-Gil,1913,f,False,True,False,False,False
Nadezhda Shteinmiller,1915,f,False,True,False,False,False
Hedda Sterne,1910,f,False,True,False,False,False
Dorothea Tanning,1910,f,False,True,False,False,False
Domicėlė Tarabildienė,1912,f,False,False,True,False,True
Gerda Taro,1910,f,False,False,False,True,False
Anya Teixeira,1913,f,False,False,False,True,False
Elsa Thiemann,1910,f,False,False,False,True,False
Bridget Bate Tichenor,1917,f,False,True,False,False,False
Pablita Velarde,18–2,f,False,True,False,False,False
Marion Post Wolcott,1910,f,False,False,False,True,False
Joan Elizabeth Woollard,1916,f,False,False,True,False,False
Carla Accardi,1924,f,False,True,False,False,False
Ida Applebroog,1929,f,False,True,False,False,False
